t_s,ref_rad_s,omega_rad_s,vcmd_V
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000006e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.099999999999999922e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000011e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000100e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,3.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00
2.600000000000000089e-01,3.000000000000000000e+02,1.615520270230005195e+01,5.000000000000000000e+00
2.700000000000000178e-01,3.000000000000000000e+02,3.168662948439550320e+01,5.000000000000000000e+00
2.800000000000000266e-01,3.000000000000000000e+02,4.661836524362853851e+01,5.000000000000000000e+00
2.899999999999999800e-01,3.000000000000000000e+02,6.097356492435471154e+01,5.000000000000000000e+00
2.999999999999999889e-01,3.000000000000000000e+02,7.477448942478302740e+01,5.000000000000000000e+00
3.099999999999999978e-01,3.000000000000000000e+02,8.804254011740061969e+01,5.000000000000000000e+00
3.200000000000000067e-01,3.000000000000000000e+02,1.007982920365134589e+02,5.000000000000000000e+00
3.300000000000000155e-01,3.000000000000000000e+02,1.130615257843678592e+02,5.000000000000000000e+00
3.400000000000000244e-01,3.000000000000000000e+02,1.248512582053300264e+02,5.000000000000000000e+00
3.500000000000000333e-01,3.000000000000000000e+02,1.361857718756909037e+02,5.000000000000000000e+00
3.599999999999999867e-01,3.000000000000000000e+02,1.470826434548266093e+02,5.000000000000000000e+00
3.699999999999999956e-01,3.000000000000000000e+02,1.575587709416793416e+02,5.000000000000000000e+00
3.800000000000000044e-01,3.000000000000000000e+02,1.676303998788257275e+02,5.000000000000000000e+00
3.900000000000000133e-01,3.000000000000000000e+02,1.773131485447680120e+02,5.000000000000000000e+00
4.000000000000000222e-01,3.000000000000000000e+02,1.866220321735140715e+02,5.000000000000000000e+00
4.100000000000000311e-01,3.000000000000000000e+02,1.955714862390042015e+02,5.000000000000000000e+00
4.199999999999999845e-01,3.000000000000000000e+02,2.041753888404922748e+02,5.000000000000000000e+00
4.299999999999999933e-01,3.000000000000000000e+02,2.124470822235946343e+02,5.000000000000000000e+00
4.400000000000000022e-01,3.000000000000000000e+02,2.203993934703799766e+02,5.000000000000000000e+00
4.500000000000000111e-01,3.000000000000000000e+02,2.280446543905847250e+02,5.000000000000000000e+00
4.600000000000000200e-01,3.000000000000000000e+02,2.353947206447995484e+02,5.000000000000000000e+00
4.700000000000000289e-01,3.000000000000000000e+02,2.424609901292817824e+02,5.000000000000000000e+00
4.799999999999999822e-01,3.000000000000000000e+02,2.492544206509035405e+02,5.000000000000000000e+00
4.899999999999999911e-01,3.000000000000000000e+02,2.557855469196441334e+02,5.000000000000000000e+00
5.000000000000000000e-01,3.000000000000000000e+02,2.620644968849777570e+02,5.000000000000000000e+00
5.100000000000000089e-01,3.000000000000000000e+02,2.681010074414894575e+02,5.000000000000000000e+00
5.200000000000000178e-01,3.000000000000000000e+02,2.739044395280741355e+02,5.000000000000000000e+00
5.300000000000000266e-01,3.000000000000000000e+02,2.794837926441338141e+02,5.000000000000000000e+00
5.400000000000000355e-01,3.000000000000000000e+02,2.848477188052830797e+02,5.000000000000000000e+00
5.500000000000000444e-01,3.000000000000000000e+02,2.900045359602046346e+02,5.000000000000000000e+00
5.600000000000000533e-01,3.000000000000000000e+02,2.949622408894603609e+02,5.000000000000000000e+00
5.700000000000000622e-01,3.000000000000000000e+02,2.997285216062604150e+02,5.000000000000000000e+00
5.799999999999999600e-01,3.000000000000000000e+02,3.043107692784208211e+02,4.855512911860130565e+00
5.899999999999999689e-01,3.000000000000000000e+02,3.082492460506436487e+02,4.723023518929093001e+00
5.999999999999999778e-01,3.000000000000000000e+02,3.116075738951901712e+02,4.312891706683169346e+00
6.099999999999999867e-01,3.000000000000000000e+02,3.135110792950832774e+02,4.122897088833067158e+00
6.199999999999999956e-01,3.000000000000000000e+02,3.147272072646601373e+02,4.018681380529858238e+00
6.300000000000000044e-01,3.000000000000000000e+02,3.155596535825207525e+02,3.947890379683508311e+00
6.400000000000000133e-01,3.000000000000000000e+02,3.161312293412444774e+02,3.890123688361238674e+00
6.500000000000000222e-01,3.000000000000000000e+02,3.164940892053845118e+02,3.837432064301648627e+00
6.600000000000000311e-01,3.000000000000000000e+02,3.166726897478751539e+02,3.786717996723889534e+00
6.700000000000000400e-01,3.000000000000000000e+02,3.166805350548204387e+02,3.736774506054068468e+00
6.800000000000000488e-01,3.000000000000000000e+02,3.165267079999448470e+02,3.330904768448674780e+00
6.900000000000000577e-01,3.000000000000000000e+02,3.150674388554897973e+02,3.470894570740283847e+00
7.000000000000000666e-01,3.000000000000000000e+02,3.141168269458307805e+02,3.495260966905639144e+00
7.099999999999999645e-01,3.000000000000000000e+02,3.132816483612181173e+02,3.474573415132625520e+00
7.199999999999999734e-01,3.000000000000000000e+02,3.124118749204477581e+02,3.436330090762696798e+00
7.299999999999999822e-01,3.000000000000000000e+02,3.114521189683532043e+02,3.391245964075154884e+00
7.399999999999999911e-01,3.000000000000000000e+02,3.103837519512156291e+02,3.699722753385921603e+00
7.500000000000000000e-01,3.000000000000000000e+02,3.103533371536540244e+02,3.461418325256402362e+00
7.600000000000000089e-01,3.000000000000000000e+02,3.095541254474937887e+02,3.338378161333327210e+00
7.700000000000000178e-01,3.000000000000000000e+02,3.083882247123034404e+02,3.260252001699669222e+00
7.800000000000000266e-01,3.000000000000000000e+02,3.070149123145835688e+02,3.555853594871459133e+00
7.900000000000000355e-01,3.000000000000000000e+02,3.066497262413062685e+02,3.312532203170496903e+00
8.000000000000000444e-01,3.000000000000000000e+02,3.055124592535769921e+02,3.543763634325955980e+00
8.100000000000000533e-01,3.000000000000000000e+02,3.051662219299378194e+02,3.631586202890624726e+00
8.200000000000000622e-01,3.000000000000000000e+02,3.051171116133548935e+02,3.307301400138511482e+00
8.300000000000000711e-01,3.000000000000000000e+02,3.040221201733192515e+02,3.506984536457992352e+00
8.399999999999999689e-01,3.000000000000000000e+02,3.036145922572692939e+02,3.582513960574622125e+00
8.499999999999999778e-01,3.000000000000000000e+02,3.034668382192894001e+02,3.609665507984917365e+00
8.599999999999999867e-01,3.000000000000000000e+02,3.034125169304649035e+02,3.261739566124066236e+00
8.699999999999999956e-01,3.000000000000000000e+02,3.022361302425371719e+02,3.452210669289586864e+00
8.800000000000000044e-01,3.000000000000000000e+02,3.017205854151575863e+02,3.524150522089903870e+00
8.900000000000000133e-01,3.000000000000000000e+02,3.014573871057676229e+02,3.549903353058396771e+00
9.000000000000000222e-01,3.000000000000000000e+02,3.012875597075674250e+02,3.557658896567917228e+00
9.100000000000000311e-01,3.000000000000000000e+02,3.011493480682031532e+02,3.558401596576507231e+00
9.200000000000000400e-01,3.000000000000000000e+02,3.010188726754953450e+02,3.556411664010287410e+00
9.300000000000000488e-01,3.000000000000000000e+02,3.008870055750547294e+02,3.553356930726937257e+00
9.400000000000000577e-01,3.000000000000000000e+02,3.007503600884605248e+02,3.549887285985073859e+00
9.500000000000000666e-01,3.000000000000000000e+02,3.006077801204228308e+02,3.546255966372374946e+00
9.599999999999999645e-01,3.000000000000000000e+02,3.004589724318566937e+02,3.542561648345622149e+00
9.699999999999999734e-01,3.000000000000000000e+02,3.003039739336979324e+02,3.538842782285196442e+00
9.799999999999999822e-01,3.000000000000000000e+02,3.001429443464352289e+02,3.535114350810049100e+00
9.899999999999999911e-01,3.000000000000000000e+02,2.999760856329654644e+02,3.531382192064521419e+00
1.000000000000000000e+00,3.000000000000000000e+02,2.998036108213849502e+02,3.527648580946579404e+00
1.010000000000000009e+00,3.000000000000000000e+02,2.996257320647522420e+02,3.880140914705502375e+00
1.020000000000000018e+00,3.000000000000000000e+02,3.005936384867221136e+02,3.686890489208094035e+00
1.030000000000000027e+00,3.000000000000000000e+02,3.008997726719129560e+02,3.609308974714207974e+00
1.040000000000000036e+00,3.000000000000000000e+02,3.009434175515473271e+02,3.576799139640923553e+00
1.050000000000000044e+00,3.000000000000000000e+02,3.008803366436874853e+02,3.561851986434086292e+00
1.060000000000000053e+00,3.000000000000000000e+02,3.007713965236356444e+02,3.553748327818691433e+00
1.070000000000000062e+00,3.000000000000000000e+02,3.006404794908710869e+02,3.548311313089419716e+00
1.080000000000000071e+00,3.000000000000000000e+02,3.004970501405248342e+02,3.543913385849790654e+00
1.090000000000000080e+00,3.000000000000000000e+02,3.003449489252176932e+02,3.539920350623207757e+00
1.100000000000000089e+00,3.000000000000000000e+02,3.001858189008025306e+02,3.536085086078942563e+00
1.110000000000000098e+00,3.000000000000000000e+02,3.000204412233130711e+02,3.532311298638193264e+00
1.120000000000000107e+00,3.000000000000000000e+02,2.998492557587533724e+02,3.528561466435522931e+00
1.130000000000000115e+00,3.000000000000000000e+02,2.996725641545916119e+02,3.524820968658166187e+00
1.140000000000000124e+00,3.000000000000000000e+02,2.994906091708087956e+02,3.521084108143597291e+00
1.150000000000000133e+00,3.000000000000000000e+02,2.993036057863062638e+02,3.517348664928980906e+00
1.159999999999999920e+00,3.000000000000000000e+02,2.991117535065467337e+02,3.513613773981077326e+00
1.169999999999999929e+00,3.000000000000000000e+02,2.989152413388387686e+02,3.866105609040002999e+00
1.179999999999999938e+00,3.000000000000000000e+02,2.998652322015705636e+02,3.672854989218585775e+00
1.189999999999999947e+00,3.000000000000000000e+02,3.001541419455060691e+02,3.595273399004185411e+00
1.199999999999999956e+00,3.000000000000000000e+02,3.001812272000080384e+02,3.562763534425559708e+00
1.209999999999999964e+00,3.000000000000000000e+02,3.001022259629424980e+02,3.547816369721639607e+00
1.219999999999999973e+00,3.000000000000000000e+02,2.999779801836496063e+02,3.539712706626277683e+00
1.229999999999999982e+00,3.000000000000000000e+02,2.998323484509780883e+02,3.534275690151336136e+00
1.239999999999999991e+00,3.000000000000000000e+02,2.996747725510925306e+02,3.529877762231486749e+00
1.250000000000000000e+00,3.000000000000000000e+02,2.995090710029425622e+02,3.525884726739848318e+00
1.260000000000000009e+00,3.000000000000000000e+02,2.993368657734996532e+02,3.522049462092300409e+00
1.270000000000000018e+00,3.000000000000000000e+02,2.991589177433700684e+02,3.874502185421260236e+00
1.280000000000000027e+00,3.000000000000000000e+02,3.001266295836887252e+02,3.681236325278661070e+00
1.290000000000000036e+00,3.000000000000000000e+02,3.004325268303451821e+02,3.603648796503373664e+00
1.300000000000000044e+00,3.000000000000000000e+02,3.004759244876002526e+02,3.571136617898357901e+00
1.310000000000000053e+00,3.000000000000000000e+02,3.004125983309314165e+02,3.556188551508281837e+00
1.320000000000000062e+00,3.000000000000000000e+02,3.003034194809524138e+02,3.548084537060868460e+00
1.330000000000000071e+00,3.000000000000000000e+02,3.001722717862634227e+02,3.542647383677686612e+00
1.340000000000000080e+00,3.000000000000000000e+02,3.000286202321893825e+02,3.538249402410017286e+00
1.350000000000000089e+00,3.000000000000000000e+02,2.998763052181974444e+02,3.534256346130805859e+00
1.360000000000000098e+00,3.000000000000000000e+02,2.997169695821543201e+02,3.530421073383149366e+00
1.370000000000000107e+00,3.000000000000000000e+02,2.995513942054960808e+02,3.526647282745856149e+00
1.380000000000000115e+00,3.000000000000000000e+02,2.993800186648924750e+02,3.522897449297617278e+00
1.390000000000000124e+00,3.000000000000000000e+02,2.992031443197753333e+02,3.875383461844864375e+00
1.400000000000000133e+00,3.000000000000000000e+02,3.001719959473771837e+02,3.682130573216927161e+00
1.409999999999999920e+00,3.000000000000000000e+02,3.004790308839585009e+02,3.604548098936796841e+00
1.419999999999999929e+00,3.000000000000000000e+02,3.005235386345511301e+02,3.572037889872113681e+00
1.429999999999999938e+00,3.000000000000000000e+02,3.004612860725629844e+02,3.557090590935363394e+00
1.439999999999999947e+00,3.000000000000000000e+02,3.003531418438822698e+02,3.548986875534684948e+00
1.449999999999999956e+00,3.000000000000000000e+02,3.002229897884874958e+02,3.543549838678394792e+00
1.459999999999999964e+00,3.000000000000000000e+02,3.000802958071266175e+02,3.539151902816724871e+00
1.469999999999999973e+00,3.000000000000000000e+02,2.999289015392785700e+02,3.535158864230468989e+00
1.479999999999999982e+00,3.000000000000000000e+02,2.997704511551955306e+02,3.531323598377068773e+00
1.489999999999999991e+00,3.000000000000000000e+02,2.996057268719046647e+02,3.527549810426200860e+00
1.500000000000000000e+00,3.000000000000000000e+02,2.994351695713930326e+02,3.523799978024754864e+00
1.510000000000000009e+00,3.000000000000000000e+02,2.992590818763077891e+02,3.876285990979898344e+00
1.520000000000000018e+00,3.000000000000000000e+02,3.002286897815552607e+02,3.683033102510901102e+00
1.530000000000000027e+00,3.000000000000000000e+02,3.005364517953136669e+02,3.605450628292705240e+00
1.540000000000000036e+00,3.000000000000000000e+02,3.005816585497740903e+02,3.572940419252153887e+00
1.550000000000000044e+00,3.000000000000000000e+02,3.005200780021737046e+02,3.557993120324808078e+00
1.560000000000000053e+00,3.000000000000000000e+02,3.004125798404562033e+02,3.549889404927792924e+00
1.570000000000000062e+00,3.000000000000000000e+02,3.002830489064495509e+02,3.544452368072929627e+00
1.580000000000000071e+00,3.000000000000000000e+02,3.001409520640794426e+02,3.540054432211816593e+00
1.590000000000000080e+00,3.000000000000000000e+02,2.999901318788171807e+02,3.536061393625776983e+00
1.600000000000000089e+00,3.000000000000000000e+02,2.998322334111553573e+02,3.532226127772461144e+00
1.610000000000000098e+00,3.000000000000000000e+02,2.996680397339886213e+02,3.528452339821626094e+00
1.620000000000000107e+00,3.000000000000000000e+02,2.994979925521255950e+02,3.524702507420196085e+00
1.630000000000000115e+00,3.000000000000000000e+02,2.993223952792644695e+02,3.520962009565391959e+00
1.640000000000000124e+00,3.000000000000000000e+02,2.991414923728057147e+02,3.873451659830594807e+00
1.650000000000000133e+00,3.000000000000000000e+02,3.001064827413045464e+02,3.680200188679973117e+00
1.660000000000000142e+00,3.000000000000000000e+02,3.004098100875507384e+02,3.602618266735667873e+00
1.669999999999999929e+00,3.000000000000000000e+02,3.004507551878938330e+02,3.570108272894787937e+00
1.679999999999999938e+00,3.000000000000000000e+02,3.003850782301710751e+02,3.555161057822390891e+00
1.689999999999999947e+00,3.000000000000000000e+02,3.002736420976348199e+02,3.547057375100391319e+00
1.699999999999999956e+00,3.000000000000000000e+02,3.001403253491760097e+02,3.541620350977711773e+00
1.709999999999999964e+00,3.000000000000000000e+02,2.999945889093052074e+02,3.537222420077836382e+00
1.719999999999999973e+00,3.000000000000000000e+02,2.998402696727359853e+02,3.533229383424997039e+00
1.729999999999999982e+00,3.000000000000000000e+02,2.996790072634837543e+02,3.529394118324974627e+00
1.739999999999999991e+00,3.000000000000000000e+02,2.995115795338477369e+02,3.525620330667667446e+00
1.750000000000000000e+00,3.000000000000000000e+02,2.993384231719428499e+02,3.878097009190566880e+00
1.760000000000000009e+00,3.000000000000000000e+02,3.003108190673955278e+02,3.684840483456084836e+00
1.770000000000000018e+00,3.000000000000000000e+02,3.006212496708420190e+02,3.607256591936882639e+00
1.780000000000000027e+00,3.000000000000000000e+02,3.006690173974966456e+02,3.574745830629207699e+00
1.790000000000000036e+00,3.000000000000000000e+02,3.006098971548242389e+02,3.559798316504825699e+00
1.800000000000000044e+00,3.000000000000000000e+02,3.005047636067656640e+02,3.551694517253889405e+00
